time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
5.010042429000000297e+00,8.687429648709492358e-04,1.406714648893237635e-03,-1.409161454149610200e-03,3.903298555220187024e-04,2.827428862532048817e-04,-2.189709981368559628e-04,1.504604087409937112e-02
5.014002084000000359e+00,4.436186924444696089e-05,7.547331944508101076e-05,-3.936899631741628408e-05,6.118461850415319151e-06,2.933439077366410705e-06,-2.300934983801112559e-06,3.608927348639432700e-04
5.019895315000000302e+00,4.858764727385701809e-05,7.430711238512813233e-05,-1.619654638646255557e-05,2.610821181745025746e-06,3.488815722112209017e-06,-4.629227258339367205e-06,4.129939907508387996e-04
5.024113654999999845e+00,5.147166117229484694e-05,7.473182508564366056e-05,-8.417298277054244271e-06,2.300295889731664136e-06,2.534810117249309774e-06,-3.352126641004769251e-06,4.539089083723744900e-04
5.029896020999999884e+00,6.709444341832654368e-05,9.001665178822934599e-05,-4.022192340859612192e-06,1.196108774351854027e-06,3.488735351284129752e-06,-5.829158126260306736e-06,7.445556949013009329e-04
5.034153700000000065e+00,7.359625633732852501e-05,9.419858187807716998e-05,-2.155445393307517388e-06,1.027423212800447858e-06,3.348052037696443774e-06,-5.449315693682249181e-06,8.638729433500576954e-04
5.039890288999999690e+00,8.491384927120440573e-05,1.083041508875524916e-04,1.357123887456290756e-06,-5.090600163395810527e-07,1.962779048363524404e-06,-6.466236284518224006e-06,1.148937653181291004e-03
5.044370413000000219e+00,8.677445397096972268e-05,1.129627589145400235e-04,3.579464342322487280e-06,-2.969680849228961062e-07,3.202066552183607115e-06,-5.901039188077236890e-06,1.242122358743444257e-03
5.049890755999999925e+00,8.997166390857340434e-05,1.226361756290553218e-04,6.388176330008286941e-06,-1.473029260149547920e-07,3.706407635085622806e-06,-7.869345525518784022e-06,1.439808263676858446e-03
5.054102896999999928e+00,8.819605928541904283e-05,1.222068241328068405e-04,7.577059757723873801e-06,-6.217886977530438382e-07,3.916876385046547770e-06,-7.678723196164691719e-06,1.423393789831958961e-03
5.059896707000000049e+00,9.254803286123589046e-05,1.283874764120181144e-04,8.631833562026958173e-06,5.761498638854504973e-08,3.048773859705124937e-06,-1.017908720055988860e-05,1.593304098972806761e-03
5.064165114999999773e+00,9.027984019189388976e-05,1.249325343060381233e-04,9.119296028960166556e-06,6.957709630559861136e-07,4.103999186223663518e-06,-1.046174545524988188e-05,1.542490501716078715e-03
5.069925784999999685e+00,-4.649492469459767796e-04,-4.150414614238970290e-04,3.877358266300735823e-04,-4.400892654960986920e-04,-2.145115300139344811e-04,4.135188825689926543e-05,2.459304821651291384e-01
5.074003935000000354e+00,-3.787129954034174767e-04,-3.336326046098660181e-04,3.224428419906343740e-04,-4.070978043145644771e-04,-1.999459218385084519e-04,3.599692361235541898e-05,2.055210657558050047e-01
5.079899311000000139e+00,-3.026515069924143320e-04,-2.581678151678985789e-04,2.679479354837895413e-04,-3.774136999576701667e-04,-1.869335187085235559e-04,2.976579420676201546e-05,1.726380495419126693e-01
5.083984375000000000e+00,-2.390707220263389721e-04,-1.977617179646368184e-04,2.180915898240673098e-04,-3.509473996562032590e-04,-1.734654346507986499e-04,2.643907393363041278e-05,1.461068703705438176e-01
5.089891194999999868e+00,-1.784830869232135325e-04,-1.381895367366207938e-04,1.734076391568433254e-04,-3.299715035831133898e-04,-1.636643235609741803e-04,2.292005536770009023e-05,1.266425712907604251e-01
5.094118595000000305e+00,-1.300293430147730911e-04,-9.333420829164135180e-05,1.369090258458924292e-04,-3.087301789980968964e-04,-1.530533020690942115e-04,1.954890590218377286e-05,1.093529544401109499e-01
5.099888324000000139e+00,-8.098423281112029914e-05,-4.800925238045844479e-05,1.017657864669238924e-04,-2.917694297199926535e-04,-1.453019598416392178e-04,1.696838169216594234e-05,9.670956809182180980e-02
