timestamp,time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,qx,qy,qz,qw,bgx_rad_s,bgy_rad_s,bgz_rad_s,bax_m_s2,bay_m_s2,baz_m_s2,P_px,P_py,P_pz,P_vx,P_vy,P_vz,P_theta_x,P_theta_y,P_theta_z,P_bgx,P_bgy,P_bgz,P_bax,P_bay,P_baz,latest_nis,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,yaw_unwrapped_deg
1786181239.059500933,5.003893137,-0.00980361423221,-0.0182707365793,-0.00458953183521,0,0,0,0.0048181977039,-0.00353097911704,-0.00160933473748,-0.999980863416,0.000595577047441,0.00245645754432,0.0166103448277,-0.0284928063427,0.062259342759,-0.0565803716987,0.0004,0.0004,0.0004,0.0025,0.0025,0.0025,7.61543549467e-05,7.61543549467e-05,7.61543549467e-05,1e-06,1e-06,1e-06,0.01,0.01,0.01,nan,-0.00962523562331,0.00707739036182,0.00318466711153,-0.551485378034,0.405504597699,0.182467984645,0.182467984645
1786181239.065650225,5.010042429,-0.00896036553324,-0.0169156265084,-0.00595782470303,0.000332564986675,3.61288528322e-05,-0.000152400391999,0.00462084240254,-0.00367073690349,-0.00149828736599,-0.999981464149,0.00059554598647,0.00245643491966,0.0166103623037,-0.0284932109943,0.0622586974728,-0.0565797342677,1.21432166684e-05,1.46827519054e-05,1.16906506392e-05,0.0024999715667,0.00249997686262,0.0024999684291,1.10713417541e-06,6.80867151562e-07,8.70132024978e-07,1.00000012561e-06,1.00000012283e-06,1.00000012406e-06,0.00999999997486,0.00999999997543,0.00999999997476,0.0150460408741,-0.00923089464748,0.0073552507454,0.00296267986817,-0.52889130443,0.421424824972,0.169749052494,0.169749052494
1786181239.069609880,5.014002084,-0.00893548338866,-0.0168783865156,-0.00597805957837,0.00120332682996,6.7301748198e-05,-0.000271997549757,0.00461253543954,-0.0036692621859,-0.00149358685976,-0.999981514944,0.000595534907681,0.00245642632809,0.0166103675045,-0.02849380558,0.0622578661752,-0.0565792043059,6.17620560218e-06,7.4899145864e-06,5.94298028802e-06,0.00249637157902,0.00249707297129,0.00249621193649,5.57679149588e-07,3.42020448801e-07,4.3762438337e-07,9.99993172078e-07,9.99988738015e-07,9.99991242404e-07,0.00999999567122,0.00999999640759,0.00999999550658,0.000360892734864,-0.00921431905417,0.00735223340114,0.00295335341282,-0.527941592891,0.421251943881,0.169214685965,0.169214685965
1786181239.075503111,5.019895315,-0.00891028243027,-0.0168534988769,-0.00598524412767,0.00186731058666,2.46098449688e-05,-0.000337655883069,0.00459886359765,-0.00366184052841,-0.00148355350678,-0.999981620054,0.000595522736977,0.00245639960514,0.0166103951735,-0.0284962299941,0.0622548266695,-0.0565784158695,4.20243757347e-06,5.08885243757e-06,4.04526905414e-06,0.00247690090231,0.00248120874739,0.00247593421089,3.72851644083e-07,2.28510937409e-07,2.92465278732e-07,9.99956340306e-07,9.99928559309e-07,9.99944250951e-07,0.00999994938974,0.00999995818511,0.00999994742625,0.000412993990751,-0.00918706959317,0.00733725760219,0.00293345503653,-0.526380313782,0.420393893806,0.168074592985,0.168074592985
1786181239.079721451,5.024113655,-0.00888918221353,-0.0168345980972,-0.00598875971238,0.00190839728246,-4.82533236251e-05,-0.00030927519886,0.00458685679166,-0.00365305309322,-0.00147426483288,-0.999981721078,0.000595508236585,0.00245637341242,0.0166104221821,-0.0285004583737,0.0622497868954,-0.0565777788462,3.23323587575e-06,3.90258360876e-06,3.11461391186e-06,0.00244518448041,0.00245513138777,0.00244296380833,2.80108851318e-07,1.71639168567e-07,2.19687248351e-07,9.99896228721e-07,9.99830507215e-07,9.9986762705e-07,0.00999983659609,0.00999986480538,0.00999983031584,0.000453908908372,-0.00916314844765,0.00731956248065,0.00291504592324,-0.525009733102,0.419380038023,0.167019828489,0.167019828489
1786181239.085503817,5.029896021,-0.00886537677614,-0.0168156083552,-0.00599086331429,0.00136786721558,5.13885188976e-05,-0.000120301200137,0.00456446848773,-0.00364561508525,-0.0014753393846,-0.999981849081,0.000595497554468,0.00245632123004,0.0166104904194,-0.0285102922749,0.0622389215786,-0.0565773419243,2.74685263951e-06,3.28639108987e-06,2.6511956922e-06,0.00238510842889,0.00240543088643,0.00238059985725,2.24483214536e-07,1.37604132582e-07,1.760823944e-07,9.99777786744e-07,9.99637217249e-07,9.99716604717e-07,0.00999949460471,0.00999958044304,0.00999947559235,0.000744555694901,-0.00911838385844,0.0073046310677,0.0029174265929,-0.522444911069,0.418524531079,0.167156230813,0.167156230813
1786181239.089761496,5.0341537,-0.00884736710969,-0.0167974308901,-0.00599126347035,0.000573890638774,0.000318114971967,0.000124082601449,0.0045434187941,-0.00364361614752,-0.00148627750716,-0.99998193603,0.000595486764584,0.00245626234692,0.0166105654564,-0.0285245313354,0.062223846065,-0.0565771546576,2.42104409062e-06,2.87502452747e-06,2.34045129419e-06,0.00230881573963,0.00234151429798,0.00230161434535,1.87332596749e-07,1.14875686879e-07,1.46963135558e-07,9.99620098964e-07,9.9938007856e-07,9.99515616023e-07,0.00999891739851,0.00999909675679,0.00999887792937,0.00086387294335,-0.00907620908222,0.00730067107489,0.00293947493935,-0.520028474389,0.418297640204,0.168419508009,0.168419508009
1786181239.095498085,5.039890289,-0.0088293029694,-0.0167761203007,-0.00599010566718,0.000511036934891,0.000669607442166,0.000195701030455,0.00451977268808,-0.00363917379374,-0.00150577224703,-0.999982030198,0.000595494192445,0.00245621905593,0.0166106779696,-0.0285480240242,0.062198915259,-0.056577944531,2.30219723201e-06,2.69978841005e-06,2.23133955732e-06,0.00220048551526,0.0022495899562,0.00218977871062,1.6091505777e-07,9.87733884438e-08,1.26290787973e-07,9.99376305219e-07,9.98982557007e-07,9.99204869745e-07,0.00999775003638,0.00999810923602,0.00999767170506,0.00114893765318,-0.00902878610622,0.00729189291379,0.00297867749549,-0.517311338013,0.417794688622,0.170665649022,0.170665649022
1786181239.099978209,5.044370413,-0.0088106187818,-0.0167540988147,-0.00598894847617,0.00131442166847,0.00101630639007,4.98590031319e-05,0.00450486121548,-0.00363461428124,-0.00152458520432,-0.999982085562,0.000595499209053,0.00245613899,0.0166107938659,-0.0285769958011,0.0621673166909,-0.0565796802121,2.18703927318e-06,2.54529568348e-06,2.12286763289e-06,0.00207772545031,0.00214345819447,0.0020635532846,1.41060895953e-07,8.66631715004e-08,1.10750173209e-07,9.99071174625e-07,9.98485433769e-07,9.98816086244e-07,0.0099960684328,0.00999666832581,0.00999593893996,0.00124212235874,-0.00899883856869,0.00728289880925,0.00301645348989,-0.515595470506,0.417279364391,0.172830054068,0.172830054068
1786181239.105498552,5.049890756,-0.00878526053709,-0.0167283420013,-0.00598826043699,0.00246317508672,0.00129286735925,-0.000188509115844,0.00449092269225,-0.00363037321257,-0.00153750041935,-0.999982143889,0.000595502579943,0.00245603057415,0.0166109747919,-0.0286146535297,0.0621239877853,-0.0565831073103,2.18657218874e-06,2.52229198073e-06,2.12593971747e-06,0.0019328058769,0.00201569426457,0.00191517120711,1.25736343697e-07,7.73657680889e-08,9.87831985081e-08,9.98659298134e-07,9.97814797966e-07,9.98291413789e-07,0.00999342547187,0.00999437337888,0.0099932232425,0.00143980826368,-0.00897087928415,0.00727449052616,0.0030424236732,-0.513993521503,0.416797605257,0.174318035965,0.174318035965
