time,ax,ay,az,gx,gy,gz
1786181234.055607796,-0.010521283,-0.001322764,0.99657011,-0.009816352,0.006673628,0.015602268
1786181234.059489250,-0.00124394,-0.000102061,0.990710735,0.004032086,0.002412571,0.017732795
1786181234.065478086,-0.000023237,-0.005961436,0.98875761,0.001901557,0.000282042,0.015602268
1786181234.069815159,-0.007591596,-0.004984874,0.995105267,0.00509735,-0.000783224,0.019863326
1786181234.079503298,-0.025413861,-0.003031749,0.993640423,0.00509735,0.002412571,0.018798061
1786181234.099876881,0.006812701,-0.009379406,0.985827923,0.00509735,-0.001848487,0.01666753
1786181234.109767675,-0.023216596,-0.004984874,1.003650188,0.004032086,0.000282042,0.015602268
1786181234.115498543,-0.031029096,-0.001078624,0.99657011,0.002966821,0.002412571,0.018798061
1786181234.119619846,-0.025902143,-0.001078624,0.997790813,-0.000228972,0.003477834,0.012406472
1786181234.125505447,-0.00515019,0.001118642,0.994616985,0.008293143,0.002412571,0.026254911
1786181234.129745007,0.008521685,-0.001811046,0.989734173,-0.001294237,0.0045431,0.01666753
1786181234.135512829,0.009498248,-0.005961436,0.985339642,0.001901557,0.000282042,0.018798061
1786181234.139526367,-0.003197065,-0.006205577,0.993396282,-0.000228972,-0.000783224,0.012406472
1786181234.145362616,-0.019554486,-0.00352003,1.001697063,0.001901557,0.000282042,0.015602268
1786181234.149671555,-0.027855268,-0.003031749,0.995593548,0.004032086,0.000282042,0.015602268
1786181234.155489206,-0.023460736,-0.004740733,0.99632597,-0.000228972,0.003477834,0.018798061
1786181234.159706831,-0.002220503,-0.001811046,0.99266386,0.006162615,0.0045431,0.025189646
1786181234.165493727,0.008765826,-0.003275889,0.991199017,-0.005555294,0.005608363,0.01134121
1786181234.169733286,0.003394732,-0.006693858,0.987781048,-0.000228972,0.000282042,0.014537003
1786181234.175483704,-0.01296269,-0.005229014,0.995593548,0.007227879,-0.001848487,0.014537003
1786181234.179797888,-0.027855268,-0.001322764,1.003894329,-0.000228972,0.002412571,0.01666753
1786181234.185483932,-0.031029096,-0.000590343,0.995105267,-0.005555294,0.0045431,0.020928588
1786181234.189759731,-0.018577924,-0.001566905,0.993640423,-0.000228972,0.003477834,0.020928588
1786181234.195493221,0.006080279,-0.000590343,0.991443157,-0.000228972,0.005608363,0.018798061
1786181234.199926615,0.017310748,-0.00352003,0.989734173,0.002966821,0.003477834,0.017732795
1786181234.205504894,0.006324419,-0.007182139,0.987781048,0.000836292,0.001347305,0.015602268
1786181234.209739447,-0.013939252,-0.005961436,0.998279095,0.000836292,-0.001848487,0.014537003
1786181234.215524197,-0.030052533,-0.003031749,1.002429485,-0.00449003,0.002412571,0.015602268
1786181234.219686270,-0.033226363,-0.003275889,0.998034954,-0.001294237,0.003477834,0.018798061
1786181234.225484610,-0.018822065,-0.003275889,0.993152142,-0.000228972,0.003477834,0.019863326
1786181234.229781151,0.003883013,-0.000834483,0.992175579,-0.002359501,0.0045431,0.017732795
1786181234.235511303,0.01438106,-0.000590343,0.989978313,0.011488937,0.000282042,0.023059119
1786181234.239639521,0.002174029,-0.006449718,0.98875761,0.012554201,-0.001848487,0.017732795
1786181234.245500803,-0.015404096,-0.003764171,0.995593548,0.001901557,-0.000783224,0.01134121
1786181234.249692440,-0.027855268,-0.003275889,1.003894329,-0.003424766,0.003477834,0.015602268
1786181234.255512714,-0.02468144,-0.000834483,0.995105267,-0.005555294,0.0045431,0.010275945
1786181234.259491205,-0.011497846,-0.006449718,0.989734173,0.002966821,0.003477834,0.025189646
1786181234.265499115,0.008765826,-0.001078624,0.992175579,0.004032086,0.002412571,0.015602268
1786181234.269705057,0.011207232,-0.004740733,0.991687298,0.004032086,0.003477834,0.013471738
1786181234.275507689,-0.004661909,-0.006693858,0.991687298,-0.00449003,0.002412571,0.010275945
1786181234.279594898,-0.022972455,-0.005473155,0.998523235,0.007227879,-0.001848487,0.019863326
