time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
5.134080170999999915e+00,1.133792968833428200e-04,1.218028255193549791e-04,-7.662575014203733270e-05,-1.202722033914436914e-04,-4.472435013294184629e-05,-3.564809345119260614e-06,1.613086168608408033e-01
5.140053986999999935e+00,1.274050227476411501e-04,1.339274813160450106e-04,-8.552143411534769701e-05,-1.044899489888964259e-04,-3.644890850481107518e-05,-5.955576804447135481e-06,1.303501107757613908e-01
5.144101857999999972e+00,1.266351873586649829e-04,1.331001162317782538e-04,-8.465517698320445400e-05,-9.215673078952961537e-05,-2.923970524452212608e-05,-6.459768712286516068e-06,1.054485554579264600e-01
5.149907350000000328e+00,1.322083740959278247e-04,1.397809816520087511e-04,-8.930905118776765600e-05,-7.826076069396476799e-05,-2.258789488070541522e-05,-7.523355499491430174e-06,8.516336088843938501e-02
5.154300451000000116e+00,1.285575686137459955e-04,1.373904858795009509e-04,-8.855524823915203458e-05,-6.740732160594814450e-05,-1.661938559524516438e-05,-8.519864766939166240e-06,6.899436198689647137e-02
5.159688233999999873e+00,1.287427187336223633e-04,1.394118047599000876e-04,-8.997054809286534477e-05,-5.707111010982806443e-05,-1.132257451401425758e-05,-1.046799411798417364e-05,5.791342403804927014e-02
5.164178133000000059e+00,1.252335579020359690e-04,1.356087341173282945e-04,-8.755777862202128448e-05,-4.766377510182802498e-05,-5.721177736265933705e-06,-9.926259256920386584e-06,4.731112523565740580e-02
5.169904947000000028e+00,3.487197224507458670e-04,-6.248470142284877349e-04,1.995192151778108977e-04,-4.241994893738760533e-04,1.489590363547804816e-04,-4.123034143015159723e-05,2.129089011585530322e+00
5.174051285000000000e+00,3.134955362128766243e-04,-5.304278789644706338e-04,1.639785240286064857e-04,-3.861589502347340499e-04,1.386402063811569159e-04,-4.001643653083919070e-05,1.749119572967369418e+00
5.179910898000000152e+00,2.874356934844720518e-04,-4.432420675699599855e-04,1.302005518624320748e-04,-3.468000486653957421e-04,1.277987053675094223e-04,-3.927914434668681272e-05,1.403065049913294171e+00
5.184155463999999824e+00,2.550227923978215516e-04,-3.662981998420224150e-04,1.014558263396636573e-04,-3.139855861839112219e-04,1.178164765401305017e-04,-3.726247377993250546e-05,1.138988820832587789e+00
5.189897059999999840e+00,2.279223060578598054e-04,-2.927963324108849574e-04,7.375963096102524513e-05,-2.787247579548112158e-04,1.115799260794135501e-04,-3.442832907086217634e-05,9.036430210976098554e-01
5.194101810000000263e+00,1.989903934456124790e-04,-2.327945166710129743e-04,5.254064434869008121e-05,-2.494017705620810545e-04,1.029190482980409631e-04,-3.353648122823590200e-05,7.234063138779101010e-01
5.199958801000000186e+00,1.749550339933247239e-04,-1.701288977064251140e-04,2.992619202540468953e-05,-2.191187064548758522e-04,9.647448540335468896e-05,-3.276214728548102113e-05,5.660514909782717874e-01
5.204135178999999667e+00,1.499855885874982336e-04,-1.219894031611462593e-04,1.380339707886604761e-05,-1.943255905086899269e-04,8.973920738279319166e-05,-3.001995574925944707e-05,4.497873152789720885e-01
5.209891318999999577e+00,1.255405300311217970e-04,-7.006089178470190082e-05,-3.997335463739627726e-06,-1.675346067214836536e-04,8.330952932514828623e-05,-3.024897118782935132e-05,3.446682476713651688e-01
5.214114903999999662e+00,1.033626095301703324e-04,-3.319870613119682567e-05,-1.519625987486498964e-05,-1.466904435582709165e-04,7.651384673881360388e-05,-2.808405206101695318e-05,2.700996167519211233e-01
5.219910145000000057e+00,8.035070749760030162e-05,9.770617871728698445e-06,-2.939313509821208509e-05,-1.216764367977418617e-04,7.124660893452484901e-05,-2.603627316449639998e-05,2.002942126685099411e-01
5.223978041999999711e+00,6.153568272323009514e-05,3.595391536838007940e-05,-3.686692119698586206e-05,-1.048674663826519235e-04,6.613042987410464773e-05,-2.493212693699177563e-05,1.587542139985770040e-01
5.229895830000000245e+00,4.047385333925436479e-05,7.113472334764267546e-05,-4.794570734928133710e-05,-8.354854324904395534e-05,6.272541512117446182e-05,-2.502088716612189465e-05,1.213926272033056114e-01
5.234162330000000196e+00,2.442855916429467755e-05,9.054981970583672601e-05,-5.219561047460456737e-05,-6.692764746053768974e-05,5.796290788904159315e-05,-2.409979545270653228e-05,9.448978511751875142e-02
5.239918470000000106e+00,7.170341524864731753e-06,1.181169637258262795e-04,-5.979675126282016362e-05,-4.830673456514669365e-05,5.389615219755114576e-05,-2.337876318218475838e-05,7.418571530990622498e-02
5.244012832000000124e+00,-4.360024854302771424e-06,1.289622415116785381e-04,-6.188392529880588216e-05,-3.602229010732127838e-05,4.979805735084771038e-05,-2.197045478336833138e-05,6.135008456141743255e-02
5.249903917000000142e+00,-2.031355279064409047e-05,1.490600171529174456e-04,-6.686569063510828387e-05,-1.890954806818781966e-05,4.720670030796068466e-05,-2.077563737857660798e-05,5.381442419222411122e-02
5.254540682000000018e+00,-3.119178898834326641e-05,1.585201108990144658e-04,-6.858493830647852812e-05,-6.583124345793990290e-06,4.401121290352762828e-05,-1.993080287231786783e-05,4.944414383663759543e-02
5.260030268999999592e+00,-4.592894045687273552e-05,1.700983168615825825e-04,-7.032283787928098051e-05,5.373481505948706149e-06,4.067126578773492412e-05,-1.840911975813317513e-05,4.824227643130845483e-02
5.264025688000000258e+00,-5.350234268855155739e-05,1.699862940622159924e-04,-6.825143611204845945e-05,1.523229212834700068e-05,3.902215967438004817e-05,-1.833722801758951105e-05,4.860380136627645564e-02
5.269892214999999602e+00,4.232158804291568863e-04,1.513036494762417389e-03,-1.230939518890271367e-03,1.042137609122672278e-03,-1.170534412037618852e-04,2.818322352234151084e-04,1.263611769196516654e+01
