time_s,raw_x,raw_y,raw_z,raw_qx,raw_qy,raw_qz,raw_qw,bias_x,bias_y,bias_z,bias_qx,bias_qy,bias_qz,bias_qw
5.064165114999999773e+00,-9.799608079925994225e-03,-1.816267661645538933e-02,-4.697609982741202811e-03,4.663748388596207842e-03,-3.552415244648856035e-03,-2.147943437340736356e-03,-9.999805078779724354e-01,-9.747666720935228499e-03,-1.827434829205699940e-02,-4.594136921620182480e-03,4.683347610095098604e-03,-3.475957785261866821e-03,-1.647802860424782065e-03,-9.999816341905342076e-01
5.069925784999999685e+00,-9.805176906492607189e-03,-1.814121105203201148e-02,-4.718544046088221644e-03,4.665772202012680343e-03,-3.558063481170763587e-03,-2.199001369763811057e-03,-9.999803673807795557e-01,-9.742934813916057785e-03,-1.827521771918320589e-02,-4.594348283289507139e-03,4.687242701565739848e-03,-3.474305946222253343e-03,-1.651057200001964688e-03,-9.999816163131055591e-01
5.074003935000000354e+00,-9.812027811951192988e-03,-1.812482315021298959e-02,-4.734640471651794039e-03,4.663930723150433791e-03,-3.565357764490018067e-03,-2.241636335389783196e-03,-9.999802553254544257e-01,-9.741941922554927039e-03,-1.827586577926082825e-02,-4.594632288837624361e-03,4.686724721116761541e-03,-3.476430653598108333e-03,-1.659850792496398190e-03,-9.999815967989841292e-01
5.079899311000000139e+00,-9.823120430957331742e-03,-1.809929544908719587e-02,-4.760502281159846930e-03,4.669129873787714220e-03,-3.575870131229624913e-03,-2.300157445546359078e-03,-9.999800606285867977e-01,-9.740891149793411835e-03,-1.827676153492009681e-02,-4.595961370296403753e-03,4.693836867115249237e-03,-3.479474384614903489e-03,-1.669450098585571404e-03,-9.999815368744765509e-01
5.083984375000000000e+00,-9.829311059871387660e-03,-1.808019960605074597e-02,-4.780098412804641150e-03,4.678179758663623435e-03,-3.583131753368071735e-03,-2.338551946072045702e-03,-9.999799032859506553e-01,-9.738111390466871325e-03,-1.827722299009044288e-02,-4.597396710668871962e-03,4.704212124986771951e-03,-3.481564172841295022e-03,-1.673944847099875181e-03,-9.999814733323024729e-01
5.089891194999999868e+00,-9.835694696961617620e-03,-1.805075164602066434e-02,-4.810672481756450049e-03,4.683406101395626471e-03,-3.588908894599284870e-03,-2.389343418346153661e-03,-9.999797380338588670e-01,-9.730724035314356965e-03,-1.827785965812667168e-02,-4.600029686862439592e-03,4.711357553648406853e-03,-3.479857724141178707e-03,-1.675719712721284111e-03,-9.999814426596455030e-01
5.094118595000000305e+00,-9.840451030417233028e-03,-1.802869013381856039e-02,-4.834118658336687344e-03,4.681521531787614931e-03,-3.589663708082189118e-03,-2.422312126668010965e-03,-9.999796648305262492e-01,-9.725046548464764268e-03,-1.827863642695716495e-02,-4.602258866439116330e-03,4.710848476905526473e-03,-3.475252561026883225e-03,-1.673608863393544633e-03,-9.999814646080381619e-01
5.099888324000000139e+00,-9.849780756698350501e-03,-1.799710376101972334e-02,-4.867769812931873816e-03,4.682035560882592297e-03,-3.598376352120209211e-03,-2.468820769307529615e-03,-9.999795173675529725e-01,-9.719361345043657854e-03,-1.827997569520057458e-02,-4.605310116434645391e-03,4.713234272882377458e-03,-3.476652055427294479e-03,-1.672238916527629335e-03,-9.999814507930537832e-01
5.104104756999999992e+00,-9.859349166152636679e-03,-1.797243157081794551e-02,-4.893140420471379752e-03,4.684666781524622452e-03,-3.610357535542415338e-03,-2.503913269184795953e-03,-9.999793746042725529e-01,-9.717393235864542692e-03,-1.828064435318971920e-02,-4.607120301985131484e-03,4.717229028713117688e-03,-3.483290736945657707e-03,-1.672342005457435775e-03,-9.999814086812561786e-01
5.109889983999999608e+00,-9.874566462576655351e-03,-1.793614447923555510e-02,-4.928995635282156125e-03,4.695976461099043639e-03,-3.625236555030248321e-03,-2.552097541390903161e-03,-9.999791459141216254e-01,-9.716010497837010082e-03,-1.828088596395589793e-02,-4.609001733304228694e-03,4.730410876245105985e-03,-3.490845898446449849e-03,-1.672517551415936450e-03,-9.999813197719722435e-01
