time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
6.469938038999999641e+00,3.462267253673354667e-04,-1.342716312499062092e-03,5.954451303911444983e-04,7.195680640212283883e-04,3.992584771627894153e-04,-2.842997420460921174e-04,5.940472400866036118e+00
6.569902897000000408e+00,-2.539251150497721238e-04,-3.117325119903965880e-05,-3.456138807856126705e-05,-2.883770353669663886e-04,-2.416118094407026173e-04,2.617089507141615663e-04,1.647995220044220943e+00
6.669915913999999724e+00,-1.725876282915560223e-04,-3.485844501214183100e-04,-1.046765970776718842e-03,-3.587165744458864470e-04,-1.159226733246783133e-04,2.879486185868965513e-04,2.155197350249352439e+00
6.769758224000000268e+00,1.077879078785275516e-03,-9.890545211315091012e-04,-2.724300566306768652e-03,-4.735584331982304425e-04,4.599917450675585200e-04,-5.175857132430199689e-04,9.839484564134931333e+00
6.869886874999999726e+00,2.044325221674022502e-04,7.670770698007152444e-04,-2.034583016793270731e-03,4.689996425196911657e-05,9.700473216952739395e-05,3.276856283159166336e-04,3.161575389079089859e+00
6.969923019000000330e+00,2.435141026163652883e-04,1.516377349526892848e-03,-1.027318782893378319e-03,-2.398144892440928343e-04,-1.229668632828345557e-04,6.674026551780056606e-06,1.878244699805790008e+00
7.069905757999999985e+00,-1.515989367706414501e-03,8.774044163207435354e-04,-8.501879699955128093e-04,6.764925913755290591e-04,-3.398867889405154745e-04,-1.034976203146641929e-04,5.773996116581927573e+00
7.169895887000000023e+00,-1.457698423536128371e-03,-9.369050338799457534e-04,-9.477840810233019095e-04,7.477533570914857836e-05,-1.872940002251072180e-04,8.886078415715145684e-05,2.095274856960514853e+00
7.269898175999999879e+00,2.729886182706742909e-04,-1.284127606224573503e-03,6.646783078253426166e-04,4.128922129752085851e-04,1.107472071772814631e-04,-6.720203042802144755e-04,6.110160870672000755e+00
7.369899510999999848e+00,1.023456487506783918e-04,-6.902954459636519158e-04,-6.276110387293809545e-04,1.521053723494420590e-04,8.038759631498353152e-05,-4.527028104894109672e-04,2.283270002570651158e+00
7.469887733000000196e+00,-3.694937216900309046e-04,9.572995134877089474e-04,4.953149978895463393e-04,3.801980562571695443e-04,8.038223527077483052e-05,-4.016429216149659440e-04,2.912085026331570958e+00
7.569930314999999688e+00,1.204197162508259186e-03,-8.605882533643562093e-04,9.936397608459966030e-04,-2.515094425187432950e-04,5.465208020909100668e-04,-2.264855711746225839e-04,5.085765765244001813e+00
7.669903040000000338e+00,9.397817004033852395e-04,8.069382673949465623e-04,9.690499630197607628e-04,-4.803089844394990856e-04,-5.390788328629858442e-04,1.727993041487865160e-04,5.701046055970479642e+00
7.769888639000000374e+00,8.177630431387642590e-04,4.527886885415319251e-04,2.585690192582229107e-03,2.514747707904616339e-04,-5.916982589128376609e-04,-2.113669654893326837e-04,7.811967506612658596e+00
7.869894742999999693e+00,5.290685365688316266e-04,7.960335033802244664e-04,-9.017361262999862986e-05,-6.565562349698148524e-04,-3.458908621148616604e-04,-1.669434081864373863e-04,4.574296018489935278e+00
7.969902991999999742e+00,9.052412471690658019e-04,4.083988063007144842e-04,6.372905424173480084e-05,-3.318886928498554142e-04,2.024306146980297530e-04,-5.016331742900621187e-04,3.613688139204371375e+00
8.069899558999999556e+00,1.351055662321881679e-03,2.353182095491193615e-05,-1.479875128183644542e-03,-1.039522225570754322e-03,-3.367895637560955753e-05,-1.493887471624083866e-04,9.274929222972232878e+00
8.169896601999999675e+00,2.438198766545243007e-04,-9.373793073041702950e-04,-2.195756854259347385e-03,-3.876864660774367226e-08,7.789649672098079500e-04,-3.614799345623580565e-05,8.630800133783148809e+00
8.269915341999999114e+00,3.441010037581928444e-04,-5.052922598327395931e-04,-1.324142695183527438e-03,-7.324548627166861800e-04,7.161828770239167280e-05,1.853954215799079558e-04,4.801881830454152400e+00
8.369891166000000382e+00,2.803946809690240072e-04,8.859986401806609069e-04,-1.788369781021763045e-03,-1.569176440390202367e-04,2.701858474576398052e-04,-1.795385919433756109e-04,2.915559922385293490e+00
8.469900845999999817e+00,-2.974781644222469768e-05,1.085594449990463783e-03,8.715119182015344974e-04,-5.438458480415921852e-04,2.024642436351383682e-04,4.384087548227459685e-04,4.656628436467673993e+00
8.569895505999999941e+00,1.348500355688149813e-04,1.221137082178646444e-03,2.927458132309180075e-04,9.794032721711209283e-04,4.474824189481471388e-04,-2.662619701661841009e-04,9.368579399440712052e+00
8.669899940000000527e+00,-2.557709354148772832e-04,1.787518426247646647e-03,-8.577381604568789369e-04,4.123655505417931841e-04,-3.395080671063465511e-04,7.324696813181579852e-06,3.818148003115354960e+00
8.769894838000000803e+00,-1.610237708221688366e-03,1.267466404125141416e-03,7.335247871396071220e-04,6.116129882273545334e-04,4.321383074929518249e-04,1.735877212084960307e-04,6.653357241369543651e+00
8.869905471999999236e+00,-1.814375636528768078e-03,3.429549153972505371e-04,9.622829416467207353e-04,3.872797586421704362e-04,-1.586466292808932346e-04,6.994514388283725338e-04,7.533230779619054296e+00
8.969954489999999225e+00,-1.491186944083155649e-03,-7.155337384661866057e-04,1.092526691878510994e-03,5.395853544655401226e-04,-6.949985704562364501e-04,3.491676521565814092e-05,8.364834943110290411e+00
9.069901465999999246e+00,-4.632784623984625288e-04,-1.298977728496374107e-03,8.301761513723887598e-04,5.264578490416242564e-04,2.972954366076827932e-05,1.853308830492402188e-04,3.243166100590476830e+00
9.169966935999999791e+00,3.463272276501838665e-04,-3.029407083380696031e-03,8.767448222955520100e-04,-8.895121017398460034e-04,-5.566040302393736940e-05,3.655482148359638964e-04,1.102086299398091640e+01
9.269903660000000656e+00,1.222123171829549160e-03,-1.717715307809595388e-03,-7.750423445200809586e-05,-8.418893973749699410e-05,3.200249507022742538e-04,-5.904932369529692759e-04,5.773847025383267884e+00
9.369896173000000772e+00,1.262967588054806495e-03,-2.654936285657331224e-03,-6.352460104261685100e-05,-9.430293925516324352e-04,-4.019536837847523226e-04,2.749778473131668749e-04,1.101375853794943538e+01
9.469903946000000516e+00,-4.579224792354910645e-05,-1.032810287792722270e-03,5.650349196816761496e-04,-2.804355892020079241e-04,4.108714986061268084e-04,-2.536527024603027524e-04,3.408982483915587558e+00
9.569706916999999535e+00,1.010708542985950392e-03,1.450124143995670106e-03,-9.670863254722609353e-04,-1.983312764969739938e-04,-4.142522290796132878e-04,1.058028227316615131e-04,3.636285357715269839e+00
9.669910669000000070e+00,-2.758575444510094621e-04,2.340400945977889197e-03,-2.763775119662549400e-04,-2.726731525859564802e-04,3.563935169340863986e-04,-3.517417357051770966e-04,4.927795088884096231e+00
9.769913195999999189e+00,2.266002785511062045e-04,1.348442139435530873e-03,-4.467832207307202361e-04,-2.239286661179337354e-04,-2.286240712425370689e-04,1.094785408365059218e-04,1.688557564255179777e+00
9.869914055000000630e+00,-5.972330924144449854e-04,2.113514047279982377e-03,-9.060505731543879240e-04,-5.788688414630433019e-04,6.330884447088154206e-04,3.374560549881617318e-04,9.390833117036498479e+00
9.969930887000000297e+00,1.105128119114479057e-05,1.861685108480448658e-03,-1.790189363673326019e-03,5.631317505665236730e-04,1.544524350764557292e-04,-4.055775295370833006e-04,7.048582949399102127e+00
1.006999230399999945e+01,-3.587169049723334252e-04,8.010887138682407094e-04,-1.349915236483018206e-03,9.571505910244715670e-06,7.321889521476938499e-04,4.985627011717909049e-04,8.523570519193473416e+00
1.016991472199999968e+01,8.278115466490466867e-05,-1.883899920895300631e-03,2.505967488806498319e-04,5.978449474073807817e-04,-3.106125654364060170e-04,-2.208481719505354587e-04,5.199539539518363895e+00
1.026990842800000081e+01,-3.806195559642854692e-04,-3.034884616263333612e-03,1.945065145772017015e-03,2.620178590310889605e-04,-2.904241118511864173e-04,-5.331529267382825298e-04,9.367679770709953502e+00
1.036976981099999939e+01,1.521568088532076687e-03,-1.452686413486749956e-03,2.803322657533224935e-03,-1.907740122571543843e-04,9.651697433907081912e-05,-5.483110067931742070e-04,9.006614468637096138e+00
1.046973395300000043e+01,1.212396455926930891e-03,-1.482506421920295331e-03,1.660870011042018483e-03,-3.430282929811379901e-04,-9.480426512354096346e-04,2.532030364220417824e-04,1.225587453955656336e+01
1.056997132300000075e+01,-7.168028747117655836e-04,-1.025341492793336445e-03,1.325488470056246197e-03,2.207399374245841807e-04,5.615189686866309086e-04,-5.533845552534521301e-04,7.714323743790264309e+00
1.066989850999999945e+01,-4.081137112347133639e-04,-1.786385359846438814e-04,6.152010501888132907e-04,-4.528280966896245231e-04,-6.472804447738806722e-04,5.576296072177702300e-04,8.343733263044292414e+00
1.076967859199999999e+01,-2.772798801288847703e-04,1.857114716737946758e-03,-1.302655992160872342e-03,2.357389072293741296e-04,4.614247646473756828e-04,-1.936352933359727793e-04,4.988311672715082246e+00
1.086990261000000046e+01,2.058985215480889364e-04,1.379217061488479529e-03,-2.479894455128905766e-03,1.495149212360165672e-04,2.255784835222228446e-04,-2.556480967721954300e-04,4.948785133907070310e+00
1.096989846199999974e+01,8.165534829621470814e-05,9.464368531125304240e-04,-3.454280878422949508e-03,3.819035381346005259e-04,1.069837263188952480e-04,-3.473124895569490271e-04,8.307341137429617106e+00
1.106990814199999917e+01,-1.309041521365733943e-03,1.406747784166779980e-03,-1.694975733011633637e-03,7.363939076892964553e-04,3.604853691437898242e-04,-3.156258507060143007e-04,9.166374959046624582e+00
1.116991615300000085e+01,-3.098706029283013197e-04,-1.602186540819602878e-03,9.304018900957878452e-05,-6.015543307452674308e-05,-2.019243709086845711e-04,-2.736360246343687709e-04,2.301007522398279104e+00
1.126990532800000011e+01,-4.623214499846796388e-04,2.898342129746891982e-05,6.935904381685301101e-04,8.269347572310416857e-05,3.966659568125898631e-04,-2.569771645360114732e-04,2.668168180635512865e+00
1.137003421800000069e+01,-4.770490293522222647e-04,-2.177416430873234388e-04,1.517642650876789567e-03,5.963279341605409663e-05,-6.829775019541440249e-05,1.297375536583709348e-04,1.452488965474150628e+00
1.146990871400000067e+01,-1.703982723329588653e-03,-5.878773462364150770e-04,1.942779669313357722e-03,-7.059345327178484248e-04,-9.341802594043661283e-05,5.086009371008312890e-04,9.282031898976349282e+00
1.156993460600000034e+01,4.946096582123665764e-04,8.966622696405870951e-04,3.403141443715228340e-03,-4.489212997030558503e-04,-5.431995246243964031e-04,9.151138542182458936e-04,1.862762438923621744e+01
1.167001557300000059e+01,2.368143895526059195e-03,2.628278093812809468e-04,2.260016952996163862e-03,1.394982364929393522e-04,-6.616551528766690402e-04,4.625212941449123377e-04,1.188477708514831122e+01
1.176970052699999947e+01,1.958986967902703533e-03,2.059750052590438030e-03,-8.371146062907861528e-04,3.806925052290285015e-04,5.353995581938650328e-04,-6.208719576730945791e-05,8.000195831583097217e+00
1.186990594799999954e+01,1.733434110338853348e-03,-7.590684335564978902e-05,-8.378508911006856547e-04,2.855492492238451099e-06,-1.813367061207936384e-05,-5.560364073450482363e-05,1.805340254640429132e+00
1.196990036899999943e+01,-4.969482079546175962e-04,7.340466499334424855e-05,-6.979804930771211884e-04,4.944692468679789520e-04,-9.111350761935100618e-05,6.371951622537711119e-06,2.195279316102555889e+00
1.206992363900000065e+01,-2.181504183651877468e-03,-1.171102218432151093e-03,-1.392918256778474719e-03,6.964967887833962458e-04,2.125233456968686171e-04,-3.711884936688837101e-04,8.923945056969193601e+00
1.216989684099999991e+01,-1.940714058690083677e-03,-4.367561124262453465e-04,-1.592342820064933991e-03,6.079900392560111866e-04,1.484062984954400235e-04,3.350022290875169978e-05,5.913591033746332215e+00
1.226990580500000050e+01,-5.487422853646482107e-04,-1.709739301323211225e-03,-1.228018969941535067e-03,9.390367977056082466e-04,2.945094296344472496e-04,9.340785560306046943e-05,9.204132227762805485e+00
1.236989378900000069e+01,-2.306061361745243010e-04,-5.580430653811113695e-04,-1.364514198231150076e-03,4.508738090799688930e-04,-5.814463795233104187e-05,1.744578599661442077e-04,2.785073469397858048e+00
1.246992516499999937e+01,4.227296451949288936e-04,-8.646275660636297544e-04,1.807528854854828504e-04,6.512569845470887536e-06,4.494628332039827243e-04,-6.084276452869959639e-04,6.297935106137389383e+00
1.257003974899999932e+01,1.883088035948518243e-03,-1.885593906126092206e-03,2.499841890723983329e-04,-5.736625401007836066e-04,1.126412527890565410e-04,-8.269258084646726511e-04,1.246939982649052681e+01
1.266991090700000022e+01,1.620790243970498742e-03,-9.424847917983251999e-04,1.368040110603443993e-04,2.142695508804320415e-04,1.778809434509280292e-04,-3.353200736447967036e-04,3.402083106483711816e+00
1.276991844099999973e+01,5.848878807581357753e-04,-4.995658118112124291e-04,5.204983489647523748e-04,-4.902788901259291527e-04,-1.129852651673656346e-04,2.538718277313615568e-04,2.799100862902919928e+00
1.286990022600000039e+01,-8.668225637967676839e-04,1.763116151228764222e-03,-3.156899167320028829e-04,4.111064266147560175e-05,-2.629480585241867350e-04,5.655155240580080441e-05,2.461622127319067488e+00
1.296990299199999974e+01,-9.781519706387031138e-04,1.462481124387730869e-03,4.387546559891375431e-04,9.795104735174247760e-07,5.125749802078752646e-05,-1.087009940263240207e-05,1.407836867410687809e+00
